iter	RMSE
0	1.125980747
1	1.091212719
2	1.0607598
3	1.033451234
4	1.00451897
5	0.9832404643
6	0.9596313239
7	0.9400935868
8	0.9195091457
9	0.900744113
10	0.8856944514
11	0.8684551259
12	0.8521093154
13	0.8407414879
14	0.8293150235
15	0.8211666942
16	0.8109959002
17	0.7979305467
18	0.7883691221
19	0.7788538665
20	0.769716436
21	0.7630522997
22	0.7535580853
23	0.7459430456
24	0.7410204434
25	0.7354411036
26	0.7315004223
27	0.7273989207
28	0.7225095742
29	0.7193502152
30	0.7154762222
31	0.7121396693
32	0.7066173161
33	0.7022437077
34	0.6994073731
35	0.6963043857
36	0.694317819
37	0.6912565439
38	0.687646986
39	0.6839393103
40	0.6814113591
41	0.6792473438
42	0.6755618405
43	0.6735467838
44	0.6716973885
45	0.6698400527
46	0.6684038256
47	0.6673788984
48	0.6661599018
49	0.6648351057
50	0.6631353233
51	0.6621019592
52	0.6612822355
53	0.6600003551
54	0.6586552041
55	0.6575232615
56	0.6555791026
57	0.6546565063
58	0.6536239432
59	0.6527092536
60	0.6520867998
61	0.6509240423
62	0.6497495873
63	0.6485762983
64	0.6475757149
65	0.6469537807
66	0.6463217133
67	0.6456664005
68	0.6448245758
69	0.6442789565
70	0.6437305869
71	0.6430406946
72	0.6424411888
73	0.6416243848
74	0.6412883612
75	0.6406275244
76	0.6389387361
77	0.6378303921
78	0.636771558
79	0.6357710425
80	0.6352286501
81	0.6344893229
82	0.6335636373
83	0.6332675404
84	0.6328771576
85	0.6323028307
86	0.6319465211
87	0.6315156719
88	0.6309150473
89	0.6306307513
90	0.630410599
91	0.6297930674
92	0.6295802305
93	0.6292004713
94	0.6284379055
95	0.6280292708
96	0.6272641071
97	0.6267253706
98	0.6263450069
99	0.62598546
100	0.6257105684
101	0.6248580797
102	0.6246266912
103	0.6240569768
104	0.623735203
105	0.6232555039
106	0.623067089
107	0.6223652443
108	0.6219797778
109	0.6214090624
110	0.6208977152
111	0.6203576367
112	0.6200793159
113	0.6197104442
114	0.6192667477
115	0.6188450047
116	0.6186297168
117	0.6183564171
118	0.6180311356
119	0.6176170183
120	0.6168608455
121	0.615842213
122	0.6157193349
123	0.6150678622
124	0.6148221051
125	0.6145471687
126	0.6141176503
127	0.6139264838
128	0.6135718569
129	0.6132678732
130	0.6129632866
131	0.6122237296
132	0.6119783242
133	0.6114528412
134	0.6110343492
135	0.6107209792
136	0.6102933077
137	0.6099274559
138	0.6096484775
139	0.6092962714
140	0.6087724103
141	0.6085516031
142	0.6085157502
143	0.6082895333
144	0.6082302301
145	0.6080570062
146	0.6077587755
147	0.6076841781
148	0.6075119754
149	0.6069900751
150	0.6068703963
151	0.6067232263
152	0.6059617
153	0.605306338
154	0.6049896562
155	0.604677374
156	0.6042813228
157	0.6036373289
158	0.6030590504
159	0.6027166838
160	0.6023775598
161	0.6018755696
162	0.6008707512
163	0.6001730723
164	0.5998053352
165	0.5994629923
166	0.5991835911
167	0.5986787722
168	0.5980763804
169	0.5974372699
170	0.597052463
171	0.5962799507
172	0.5958010023
173	0.5953624089
174	0.5949384556
175	0.5944580264
176	0.5940613584
177	0.5933340382
178	0.5923755236
179	0.5918091496
180	0.5912620142
181	0.5906346139
182	0.5901421184
183	0.5894548449
184	0.5885914597
185	0.5881829595
186	0.5872996175
187	0.5868582902
188	0.5861088016
189	0.5848215829
190	0.5842055502
191	0.5838113903
192	0.5833160975
193	0.582828027
194	0.5820782455
195	0.5815737818
196	0.5806439081
197	0.5800825974
198	0.5792385886
199	0.5785341039
200	0.5777171313
201	0.5769228067
202	0.5760886923
203	0.5753384212
204	0.5747320021
205	0.5739974844
206	0.5729393965
207	0.5723440652
208	0.5717507922
209	0.5710075887
210	0.5703860042
211	0.5698682623
212	0.5690391736
213	0.5685646256
214	0.5679852341
215	0.5674106851
216	0.566803382
217	0.5663270098
