iter	Passed	Remaining
0	11	11686
1	23	11810
2	35	11759
3	47	11697
4	58	11633
5	71	11751
6	83	11734
7	95	11699
8	107	11703
9	119	11709
10	132	11772
11	144	11792
12	156	11750
13	167	11715
14	179	11685
15	191	11641
16	202	11604
17	214	11583
18	226	11574
19	238	11596
20	250	11569
21	262	11569
22	274	11536
23	285	11520
24	297	11478
25	308	11466
26	320	11456
27	328	11282
28	339	11273
29	351	11266
30	363	11247
31	375	11246
32	387	11253
33	399	11237
34	411	11231
35	423	11223
36	434	11211
37	446	11195
38	458	11192
39	470	11186
40	482	11175
41	494	11167
42	505	11151
43	517	11137
44	529	11128
45	541	11131
46	553	11116
47	565	11110
48	577	11104
49	589	11094
50	600	11076
51	613	11072
52	625	11072
53	636	11051
54	649	11049
55	662	11056
56	673	11042
57	686	11043
58	698	11034
59	710	11021
60	721	11004
61	733	10993
62	745	10975
63	756	10957
64	768	10942
65	779	10929
66	792	10924
67	804	10917
68	816	10913
69	829	10914
70	841	10906
71	853	10895
72	865	10877
73	877	10873
74	889	10862
75	902	10859
76	913	10847
77	926	10842
78	938	10838
79	950	10824
80	962	10811
81	974	10802
82	986	10793
83	998	10780
84	1010	10770
85	1021	10753
86	1034	10747
87	1045	10732
88	1057	10718
89	1069	10709
90	1081	10693
91	1093	10686
92	1107	10696
93	1122	10707
94	1133	10694
95	1145	10682
96	1157	10671
97	1169	10661
98	1182	10653
99	1194	10646
100	1207	10637
101	1219	10627
102	1231	10613
103	1243	10605
104	1255	10592
105	1267	10581
106	1279	10569
107	1290	10554
108	1302	10537
109	1314	10529
110	1327	10522
111	1338	10507
112	1351	10497
113	1362	10484
114	1374	10472
115	1387	10463
116	1398	10450
117	1411	10439
118	1423	10429
119	1435	10418
120	1447	10407
121	1459	10398
122	1471	10385
123	1484	10376
124	1495	10363
125	1508	10354
126	1520	10341
127	1532	10333
128	1544	10322
129	1556	10306
130	1568	10294
131	1579	10279
132	1591	10266
133	1603	10256
134	1616	10248
135	1629	10242
136	1641	10230
137	1653	10218
138	1665	10205
139	1677	10195
140	1689	10184
141	1701	10172
142	1704	10105
143	1717	10102
144	1721	10043
145	1726	9994
146	1738	9980
147	1750	9969
148	1762	9958
149	1774	9950
150	1786	9940
151	1799	9930
152	1811	9920
153	1823	9910
154	1835	9899
155	1847	9889
156	1859	9880
157	1872	9869
158	1883	9855
159	1895	9845
160	1907	9834
161	1919	9821
162	1931	9812
163	1944	9803
164	1956	9793
165	1968	9781
166	1980	9770
167	1993	9763
168	2004	9749
169	2016	9737
170	2028	9728
171	2041	9720
172	2053	9708
173	2065	9697
174	2076	9683
175	2088	9671
176	2100	9661
177	2113	9652
178	2125	9642
179	2138	9633
180	2150	9624
181	2162	9612
182	2174	9600
183	2186	9590
184	2198	9578
185	2210	9567
186	2222	9554
187	2234	9543
188	2245	9530
189	2258	9519
190	2270	9508
191	2282	9497
192	2294	9487
193	2307	9478
194	2318	9465
195	2331	9455
196	2343	9446
197	2355	9435
198	2367	9423
199	2379	9411
200	2391	9398
201	2403	9387
