plate,letters,numbers,region_code,description,forbidden,advantage,significance,region_name
X059CP797,XCP,059,797,NAG,False,False,0,Moscow
Y800MH790,YMH,800,790,NAG,False,False,0,Moscow Oblast
A212TX77,ATX,212,77,NAG,False,False,0,Moscow
P001AY199,PAY,001,199,NAG,False,False,0,Moscow
B400BB750,BBB,400,750,NAG,False,False,0,Moscow Oblast
P666OM790,POM,666,790,NAG,False,False,0,Moscow Oblast
C080KP777,CKP,080,777,NAG,False,False,0,Moscow
E737AY550,EAY,737,550,NAG,False,False,0,Moscow Oblast
C001KK750,CKK,001,750,NAG,False,False,0,Moscow Oblast
P227YC77,PYC,227,77,NAG,False,False,0,Moscow
A111HA777,AHA,111,777,NAG,False,False,0,Moscow
P745CX797,PCX,745,797,NAG,False,False,0,Moscow
Y100CP777,YCP,100,777,NAG,False,False,0,Moscow
T047EM797,TEM,047,797,NAG,False,False,0,Moscow
P991CC05,PCC,991,05,NAG,False,False,0,Republic of Dagestan
P141BY77,PBY,141,77,NAG,False,False,0,Moscow
X140YM38,XYM,140,38,NAG,False,False,0,Irkutsk Oblast
C400OP797,COP,400,797,NAG,False,False,0,Moscow
Y999HM34,YHM,999,34,NAG,False,False,0,Volgograd Oblast
K063KK190,KKK,063,190,NAG,False,False,0,Moscow Oblast
B764AA250,BAA,764,250,NAG,False,False,0,Moscow Oblast
K093OE797,KOE,093,797,NAG,False,False,0,Moscow
K555PA196,KPA,555,196,NAG,False,False,0,Sverdlovsk Oblast
H003MB97,HMB,003,97,NAG,False,False,0,Moscow
B878HA193,BHA,878,193,NAG,False,False,0,Krasnodar Krai
T888AX198,TAX,888,198,NAG,False,False,0,Saint Petersburg
T089CY797,TCY,089,797,NAG,False,False,0,Moscow
A077OE777,AOE,077,777,NAG,False,False,0,Moscow
O400CT750,OCT,400,750,NAG,False,False,0,Moscow Oblast
H300KP75,HKP,300,75,NAG,False,False,0,Zabaykalsky Krai
M313MM99,MMM,313,99,NAG,False,False,0,Moscow
E001MY197,EMY,001,197,NAG,False,False,0,Moscow
X971XX40,XXX,971,40,NAG,False,False,0,Kaluga Oblast
M281AX977,MAX,281,977,NAG,False,False,0,Moscow
K015OO797,KOO,015,797,NAG,False,False,0,Moscow
H424BE790,HBE,424,790,NAG,False,False,0,Moscow Oblast
T654TT190,TTT,654,190,NAG,False,False,0,Moscow Oblast
A666MP43,AMP,666,43,NAG,False,False,0,Kirov Oblast
O039AA77,OAA,039,77,NAG,False,False,0,Moscow
E742EE197,EEE,742,197,NAG,False,False,0,Moscow
K013AA799,KAA,013,799,NAG,False,False,0,Moscow
B211AE95,BAE,211,95,NAG,False,False,0,Chechen Republic
H045HK777,HHK,045,777,NAG,False,False,0,Moscow
B474CA790,BCA,474,790,NAG,False,False,0,Moscow Oblast
T083AA550,TAA,083,550,NAG,False,False,0,Moscow Oblast
C988CY89,CCY,988,89,NAG,False,False,0,Yamalo-Nenets Autonomous Okrug
C356KP750,CKP,356,750,NAG,False,False,0,Moscow Oblast
K008AB177,KAB,008,177,NAG,False,False,0,Moscow
M500KA77,MKA,500,77,NAG,False,False,0,Moscow
X444KY750,XKY,444,750,NAG,False,False,0,Moscow Oblast
B777BC777,BBC,777,777,NAG,False,False,0,Moscow
K111PO790,KPO,111,790,NAG,False,False,0,Moscow Oblast
K099XX799,KXX,099,799,NAG,False,False,0,Moscow
Y588EP790,YEP,588,790,NAG,False,False,0,Moscow Oblast
O078HE797,OHE,078,797,NAG,False,False,0,Moscow
T868PB797,TPB,868,797,NAG,False,False,0,Moscow
X663OC797,XOC,663,797,NAG,False,False,0,Moscow
T505KT39,TKT,505,39,NAG,False,False,0,Kaliningrad Oblast
O911BO124,OBO,911,124,NAG,False,False,0,Krasnoyarsk Krai
M999KO199,MKO,999,199,NAG,False,False,0,Moscow
A110MP33,AMP,110,33,NAG,False,False,0,Vladimir Oblast
K400YA123,KYA,400,123,NAG,False,False,0,Krasnodar Krai
X156CM797,XCM,156,797,NAG,False,False,0,Moscow
X555KE777,XKE,555,777,NAG,False,False,0,Moscow
C107OK797,COK,107,797,NAG,False,False,0,Moscow
O198OM750,OOM,198,750,NAG,False,False,0,Moscow Oblast
M660PE28,MPE,660,28,NAG,False,False,0,Amur Oblast
X080PA174,XPA,080,174,NAG,False,False,0,Chelyabinsk Oblast
E886MM99,EMM,886,99,NAG,False,False,0,Moscow
A500XX05,AXX,500,05,NAG,False,False,0,Republic of Dagestan
K196TX797,KTX,196,797,NAG,False,False,0,Moscow
P570AB77,PAB,570,77,NAG,False,False,0,Moscow
H144TH977,HTH,144,977,NAG,False,False,0,Moscow
T086EH977,TEH,086,977,NAG,False,False,0,Moscow
A080AP550,AAP,080,550,NAG,False,False,0,Moscow Oblast
T303CT790,TCT,303,790,NAG,False,False,0,Moscow Oblast
K727MY761,KMY,727,761,NAG,False,False,0,Rostov Oblast
T190HM190,THM,190,190,NAG,False,False,0,Moscow Oblast
O700CT197,OCT,700,197,NAG,False,False,0,Moscow
M222EK22,MEK,222,22,NAG,False,False,0,Altai Krai
A600CE790,ACE,600,790,NAG,False,False,0,Moscow Oblast
H666EM50,HEM,666,50,NAG,False,False,0,Moscow Oblast
B666PH777,BPH,666,777,NAG,False,False,0,Moscow
H333EM750,HEM,333,750,NAG,False,False,0,Moscow Oblast
B320TE797,BTE,320,797,NAG,False,False,0,Moscow
B469OP197,BOP,469,197,NAG,False,False,0,Moscow
A300OY799,AOY,300,799,NAG,False,False,0,Moscow
T003HE190,THE,003,190,NAG,False,False,0,Moscow Oblast
Y004BB777,YBB,004,777,NAG,False,False,0,Moscow
M530CC196,MCC,530,196,NAG,False,False,0,Sverdlovsk Oblast
E005PM05,EPM,005,05,NAG,False,False,0,Republic of Dagestan
T112CK18,TCK,112,18,NAG,False,False,0,Udmurt Republic
A535YC790,AYC,535,790,NAG,False,False,0,Moscow Oblast
E393MY797,EMY,393,797,NAG,False,False,0,Moscow
X784AM777,XAM,784,777,NAG,False,False,0,Moscow
A148XY797,AXY,148,797,NAG,False,False,0,Moscow
M060CM60,MCM,060,60,NAG,False,False,0,Pskov Oblast
T674TT77,TTT,674,77,NAG,False,False,0,Moscow
P899PT797,PPT,899,797,NAG,False,False,0,Moscow
K020TC63,KTC,020,63,NAG,False,False,0,Samara Oblast
A991MK199,AMK,991,199,NAG,False,False,0,Moscow
M010TO93,MTO,010,93,NAG,False,False,0,Krasnodar Krai
O100ME50,OME,100,50,NAG,False,False,0,Moscow Oblast
A150AO150,AAO,150,150,NAG,False,False,0,Moscow Oblast
Y770PE797,YPE,770,797,NAG,False,False,0,Moscow
O131PC77,OPC,131,77,NAG,False,False,0,Moscow
K100XP777,KXP,100,777,NAG,False,False,0,Moscow
X600PT790,XPT,600,790,NAG,False,False,0,Moscow Oblast
T300EH977,TEH,300,977,NAG,False,False,0,Moscow
B044TH797,BTH,044,797,NAG,False,False,0,Moscow
C990TC99,CTC,990,99,NAG,False,False,0,Moscow
C005MM99,CMM,005,99,NAG,False,False,0,Moscow
X995AP550,XAP,995,550,NAG,False,False,0,Moscow Oblast
M554EM190,MEM,554,190,NAG,False,False,0,Moscow Oblast
O999EE32,OEE,999,32,NAG,False,False,0,Bryansk Oblast
B009BX50,BBX,009,50,NAG,False,False,0,Moscow Oblast
T813MM193,TMM,813,193,NAG,False,False,0,Krasnodar Krai
M381AX977,MAX,381,977,NAG,False,False,0,Moscow
P079PP77,PPP,079,77,NAG,False,False,0,Moscow
C777EP193,CEP,777,193,NAG,False,False,0,Krasnodar Krai
T024CM797,TCM,024,797,NAG,False,False,0,Moscow
Y049TX797,YTX,049,797,NAG,False,False,0,Moscow
E555PY750,EPY,555,750,NAG,False,False,0,Moscow Oblast
E579KX50,EKX,579,50,NAG,False,False,0,Moscow Oblast
K288AT716,KAT,288,716,NAG,False,False,0,Republic of Tatarstan
C799OC797,COC,799,797,NAG,False,False,0,Moscow
P111YC26,PYC,111,26,NAG,False,False,0,Stavropol Krai
T696YM97,TYM,696,97,NAG,False,False,0,Moscow
K898YM77,KYM,898,77,NAG,False,False,0,Moscow
B848AO550,BAO,848,550,NAG,False,False,0,Moscow Oblast
B424PK797,BPK,424,797,NAG,False,False,0,Moscow
E007TO69,ETO,007,69,NAG,False,False,0,Tver Oblast
A636TB790,ATB,636,790,NAG,False,False,0,Moscow Oblast
K700AA550,KAA,700,550,NAG,False,False,0,Moscow Oblast
P555PB31,PPB,555,31,NAG,False,False,0,Belgorod Oblast
E400OX790,EOX,400,790,NAG,False,False,0,Moscow Oblast
O011XX198,OXX,011,198,NAG,False,False,0,Saint Petersburg
H700PA797,HPA,700,797,NAG,False,False,0,Moscow
O795OO177,OOO,795,177,NAG,False,False,0,Moscow
